time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
26.6368,43049.0,43049.0,1.15876269,1.07938242,0.07938033,0.13052008,5.92087555,0.40147513,87.06457520,71.17,71.84,1616.1,1558.3
12.6751,48702.0,91751.0,1.25456011,1.17510688,0.07945321,0.15883346,5.87949181,0.48814377,2.38241172,73.92,74.98,3842.4,2275.9
7.8448,33600.0,125351.0,1.22364068,1.14263904,0.08100161,0.11838855,6.22956038,0.50032234,2.30790758,73.93,74.98,4283.1,2600.2
8.0524,49514.0,174865.0,1.26037407,1.18118203,0.07919189,0.13894503,5.81163931,0.49952284,1.78126121,73.93,75.02,6148.9,3105.5
7.9040,47889.0,222754.0,1.22086573,1.14483500,0.07603067,0.13285767,5.67566633,0.47798112,2.48165679,73.93,75.02,6058.8,3466.2
16.8392,48519.0,271273.0,1.13801646,1.05912697,0.07888948,0.12662102,6.13789511,0.48574886,3.30924630,73.93,75.02,2881.3,3342.6
7.8467,33594.0,304867.0,1.28323352,1.21216631,0.07106721,0.15372294,5.15777063,0.50031769,3.79746628,73.93,75.02,4281.3,3423.5
7.8618,33600.0,338467.0,1.17343736,1.10520256,0.06823484,0.13698335,4.80886936,0.50032234,2.17600036,73.93,75.02,4273.8,3490.8
7.8683,33600.0,372067.0,1.40195692,1.33606625,0.06589064,0.14702612,4.34077549,0.50032234,2.29129362,73.93,75.02,4270.3,3547.6
7.6175,41255.0,413322.0,1.11468244,1.04895294,0.06572974,0.12917382,4.18878317,0.44106519,1.77833402,73.93,75.02,5415.8,3672.4
7.6970,58129.0,471451.0,1.15383267,1.09133828,0.06249428,0.13926539,3.97628927,0.41759476,1.83223033,73.93,75.02,7552.2,3919.0
7.7011,44344.0,515795.0,1.10925436,1.04627883,0.06297561,0.13784653,4.18379927,0.44806033,1.39865005,73.93,75.02,5758.2,4028.0
7.8786,33600.0,549395.0,1.15823150,1.09523058,0.06300080,0.11613866,4.11573362,0.50032234,1.79728889,73.93,75.02,4264.7,4040.2
7.7756,45801.0,595196.0,1.18156064,1.11972249,0.06183803,0.11663043,4.08200550,0.45752195,1.28915155,73.93,75.02,5890.3,4138.8
7.6956,44238.0,639434.0,1.13206124,1.07145500,0.06060615,0.11122935,3.89054298,0.44546455,0.99312514,73.93,75.02,5748.5,4219.1
8.0027,48765.0,688199.0,1.05698800,0.99639755,0.06059045,0.14632359,3.81973028,0.48899376,1.13229346,73.93,75.02,6093.6,4311.7
7.8898,33600.0,721799.0,1.01992488,0.95866501,0.06125978,0.11193243,4.08190632,0.50032234,0.86214662,73.93,75.02,4258.7,4307.9
7.8667,35576.0,757375.0,1.06840253,1.00697052,0.06143203,0.19354618,3.98378563,0.47456101,1.03910255,73.93,75.02,4522.3,4316.2
7.8772,33600.0,790975.0,1.02114797,0.96029145,0.06085640,0.13013078,4.03123283,0.50032234,0.85725892,73.93,75.02,4265.5,4312.8
