time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
62.9631,43049.0,43049.0,1.19994116,1.12031937,0.07962184,0.13527906,5.93744946,0.40147513,2.41109443,96.27,101.71,683.7,678.1
10.1827,48702.0,91751.0,1.29373312,1.21515548,0.07857775,0.16372254,5.90692472,0.48814377,2.33675146,96.27,117.86,4782.8,1245.1
9.7941,33600.0,125351.0,1.26326716,1.18204594,0.08122119,0.12261935,6.26883078,0.50032234,2.26711583,96.27,117.86,3430.6,1500.6
10.0038,49514.0,174865.0,1.30156374,1.22295761,0.07860609,0.14516146,5.81711006,0.49952284,1.98082924,96.27,117.94,4949.5,1868.4
9.8591,47889.0,222754.0,1.26501787,1.18905592,0.07596194,0.13826191,5.72002792,0.47798112,2.34294653,96.27,117.94,4857.3,2152.2
9.9386,48519.0,271273.0,1.16568804,1.08937442,0.07631364,0.12940462,5.87397528,0.48574886,2.84183955,96.27,117.94,4881.9,2390.2
9.8208,33594.0,304867.0,1.35047448,1.28099203,0.06948250,0.16140340,5.06039906,0.50031769,4.13381433,96.27,117.94,3420.7,2471.3
9.8178,33600.0,338467.0,1.23042786,1.16402161,0.06640614,0.14265299,4.70947409,0.50032234,2.80278444,96.27,117.94,3422.3,2540.5
9.8162,33600.0,372067.0,1.46632421,1.40383732,0.06248675,0.15536448,3.95971751,0.50032234,1.66148329,96.27,117.94,3422.9,2600.1
9.5670,41255.0,413322.0,1.18253565,1.12037122,0.06216445,0.13804787,3.79526901,0.44106519,1.68989789,96.27,117.94,4312.2,2706.5
9.7147,58129.0,471451.0,1.21698451,1.15674675,0.06023786,0.14739548,3.54521132,0.41759476,1.54553747,96.27,119.48,5983.6,2901.6
9.6494,44344.0,515795.0,1.17593884,1.11597645,0.05996244,0.14661111,3.49172974,0.44806033,1.47544813,96.27,119.48,4595.5,2995.7
9.8134,33600.0,549395.0,1.22019708,1.16162288,0.05857421,0.12376264,3.17806959,0.50032234,1.40656698,96.27,119.48,3423.9,3017.9
9.7125,45801.0,595196.0,1.24372184,1.18675292,0.05696887,0.12519488,3.05416751,0.45752195,0.84854138,96.27,119.48,4715.7,3103.1
9.6319,44238.0,639434.0,1.20822322,1.15209770,0.05612550,0.12195737,2.79319239,0.44546455,0.87748289,96.27,119.48,4592.8,3173.5
9.9271,48765.0,688199.0,1.13668954,1.07977498,0.05691444,0.15529400,2.55283403,0.48899376,0.87006813,96.27,119.48,4912.3,3254.3
9.8139,33600.0,721799.0,1.10265887,1.04617119,0.05648770,0.12422308,2.43448114,0.50032234,0.86685431,96.27,119.48,3423.7,3261.1
9.7707,35576.0,757375.0,1.15624046,1.10034931,0.05589125,0.20543149,2.20770454,0.47456101,0.94215441,96.27,119.48,3641.1,3276.4
9.8139,33600.0,790975.0,1.10030687,1.04446352,0.05584335,0.14009815,2.26432490,0.50032234,0.69662422,96.27,119.48,3423.7,3281.7
9.8994,48194.0,839169.0,1.18274820,1.12837982,0.05436841,0.12065920,2.02464008,0.48164731,0.71257114,96.27,119.48,4868.4,3343.6
9.5214,57942.0,897111.0,1.14890385,1.09465551,0.05424833,0.13112703,1.99621081,0.38540676,0.62091219,96.27,119.48,6085.4,3443.2
9.3339,45518.0,942629.0,1.10240078,1.04803956,0.05436105,0.15468428,1.83410978,0.38952085,0.61218029,96.27,119.48,4876.6,3492.1
9.8107,47358.0,989987.0,1.14737177,1.09399652,0.05337525,0.14932388,1.84988880,0.47200814,0.62911063,96.27,119.48,4827.2,3538.3
9.8120,33600.0,1023587.0,1.29803669,1.24585295,0.05218374,0.14344475,1.80296016,0.50032234,0.62559372,96.27,119.48,3424.4,3533.8
9.7407,58616.0,1082203.0,1.25737345,1.20565033,0.05172307,0.16315836,1.65313280,0.43360510,0.73692113,96.27,119.54,6017.6,3614.0
9.8098,33426.0,1115629.0,1.12972140,1.07582390,0.05389756,0.12984636,1.76295686,0.50021571,0.59834081,96.27,119.54,3407.4,3606.8
9.9836,49284.0,1164913.0,1.25380206,1.20186281,0.05193928,0.15937945,1.58455551,0.49620113,0.69861001,96.27,119.54,4936.5,3647.8
9.6027,54793.0,1219706.0,1.23097944,1.17960560,0.05137390,0.13117568,1.44808531,0.41897717,0.58526784,96.27,119.54,5706.0,3707.3
9.8028,33600.0,1253306.0,1.19768894,1.14585161,0.05183730,0.10941769,1.65368927,0.50032234,0.53661287,96.27,119.54,3427.6,3698.7
9.7634,46639.0,1299945.0,1.22060871,1.16890705,0.05170181,0.14501914,1.61616313,0.46475750,0.66219968,96.27,119.54,4776.9,3728.3
9.8981,61438.0,1361383.0,1.23398709,1.18301535,0.05097178,0.12879805,1.28453326,0.45149150,0.58577424,96.27,119.79,6207.0,3796.2
9.9611,48910.0,1410293.0,1.20235538,1.15036309,0.05199233,0.12442695,1.30676305,0.49094161,0.58106250,96.27,119.79,4910.1,3825.8
9.7999,47117.0,1457410.0,1.17128742,1.11994588,0.05134148,0.11751871,1.30314970,0.46948007,0.59508365,96.27,119.79,4807.9,3850.7
9.6473,36785.0,1494195.0,1.12298846,1.07113886,0.05184963,0.11961238,1.32940865,0.46241730,0.54272842,96.27,119.79,3813.0,3849.2
9.7905,47092.0,1541287.0,1.11815584,1.06722629,0.05092951,0.12654009,1.12078953,0.46921682,0.58596247,96.27,119.79,4809.9,3872.4
10.0059,49532.0,1590819.0,1.17486930,1.12427235,0.05059698,0.15247041,1.32644105,0.49973887,0.48952940,96.27,119.79,4950.3,3898.3
9.8037,33600.0,1624419.0,1.23708606,1.18666279,0.05042320,0.10339176,1.34660625,0.50032234,0.55327272,96.27,119.79,3427.3,3886.8
9.8048,33600.0,1658019.0,1.13368607,1.08307827,0.05060777,0.13649863,1.27130163,0.50032234,0.56333780,96.27,119.79,3426.9,3875.8
9.7138,45898.0,1703917.0,1.24503982,1.19536984,0.04966997,0.17744569,1.24501300,0.45828834,0.47581828,96.27,119.79,4725.0,3894.2
9.8110,33600.0,1737517.0,1.07784796,1.02698052,0.05086743,0.11212522,1.27734113,0.50032234,0.50286055,96.27,119.79,3424.7,3883.4
9.6680,45341.0,1782858.0,1.17520130,1.12550533,0.04969608,0.13456818,1.04056728,0.45164230,0.52524453,96.27,119.79,4689.8,3900.1
9.6989,45592.0,1828450.0,1.16992605,1.12071788,0.04920832,0.15200734,1.04297733,0.45592117,0.45934704,96.27,119.79,4700.8,3916.3
9.9847,49202.0,1877652.0,1.19617903,1.14659917,0.04957989,0.15479657,1.20162058,0.49471268,0.46621275,96.27,119.79,4927.8,3937.0
9.8053,33600.0,1911252.0,1.05005157,0.99855429,0.05149725,0.10177581,1.18355656,0.50032234,0.50932807,96.27,119.79,3426.7,3926.3
9.9074,48494.0,1959746.0,1.22969866,1.17998934,0.04970929,0.14686407,1.07422769,0.48542476,0.57145959,96.27,119.79,4894.7,3945.2
9.8841,48210.0,2007956.0,1.17363441,1.12415981,0.04947457,0.12071349,1.03853798,0.48136947,0.47868115,96.27,119.79,4877.5,3963.0
9.7161,59313.0,2067269.0,1.10244727,1.05284655,0.04960066,0.16035238,0.82903212,0.42783409,0.56680965,96.27,119.79,6104.6,4002.9
9.4441,53382.0,2120651.0,1.17176771,1.12238836,0.04937932,0.10440050,0.95581818,0.39056075,0.45628390,96.27,119.79,5652.4,4032.1
9.9853,49162.0,2169813.0,1.12571919,1.07621825,0.04950089,0.10437226,0.91124338,0.49443924,0.62357545,96.27,119.79,4923.4,4048.4
9.8763,48084.0,2217897.0,1.19093883,1.14187133,0.04906752,0.13904648,0.88815087,0.48030424,0.53793347,96.27,119.79,4868.6,4062.8
9.7074,44777.0,2262674.0,1.13755810,1.08818138,0.04937690,0.13305026,1.03382659,0.45045102,0.45845866,96.27,119.79,4612.6,4068.4
9.9994,63238.0,2325912.0,1.21126711,1.16248846,0.04877860,0.13089153,0.92648458,0.46958187,0.63481194,96.27,119.95,6324.2,4107.9
9.6746,45118.0,2371030.0,1.11713731,1.06774902,0.04938824,0.14261152,0.91509455,0.45258731,0.49531510,96.27,119.95,4663.6,4116.8
9.5110,49899.0,2420929.0,1.22998965,1.18142033,0.04856937,0.12672932,1.03756404,0.40895811,0.55215710,96.27,119.95,5246.5,4134.8
9.6633,45003.0,2465932.0,1.09446752,1.04491174,0.04955577,0.14025700,0.78050226,0.45184764,0.42905408,96.27,119.95,4657.1,4142.9
9.8051,33600.0,2499532.0,1.14094555,1.09160757,0.04933804,0.15042867,1.10065794,0.50032234,0.60487717,96.27,119.95,3426.8,4131.0
9.8023,33600.0,2533132.0,1.16252828,1.11364365,0.04888467,0.16735804,0.89201897,0.50032234,0.49748039,96.27,119.95,3427.8,4119.4
9.9641,49160.0,2582292.0,1.23767769,1.18915737,0.04852045,0.13202055,1.11329699,0.49407634,0.68830585,96.27,119.95,4933.7,4132.1
9.8074,33600.0,2615892.0,1.07107246,1.02148354,0.04958892,0.12131383,0.88440084,0.50032234,0.51396662,96.27,119.95,3426.0,4120.8
9.7766,59284.0,2675176.0,1.24578702,1.19719708,0.04858986,0.11876087,0.72718543,0.44187528,0.61254102,96.27,119.95,6063.8,4150.0
9.8037,33599.0,2708775.0,1.22293389,1.17412102,0.04881274,0.11572586,0.73101330,0.50032157,0.59411073,96.27,119.95,3427.2,4138.8
10.0084,49411.0,2758186.0,1.06714797,1.01719844,0.04994957,0.12074018,0.76989734,0.49801141,0.46615347,96.27,119.95,4937.0,4150.5
9.8023,33600.0,2791786.0,1.24663389,1.19762051,0.04901329,0.14364329,0.99342489,0.50032234,0.62197286,96.27,119.95,3427.8,4139.7
9.9792,49154.0,2840940.0,1.26030564,1.21188784,0.04841781,0.13044825,1.06363463,0.49432638,0.43111759,96.27,119.95,4925.6,4150.9
9.5602,53687.0,2894627.0,1.18168914,1.13311970,0.04856949,0.15128899,0.75526214,0.41414791,0.57032681,96.27,119.95,5615.7,4170.7
9.5687,39292.0,2933919.0,1.12976635,1.08057606,0.04919013,0.12218384,0.90029156,0.44585872,0.48746711,96.27,119.95,4106.3,4169.6
9.6669,45262.0,2979181.0,1.12788248,1.07918787,0.04869457,0.15128714,0.71289819,0.45355931,0.51199377,96.27,119.95,4682.2,4176.2
9.9453,62760.0,3041941.0,1.14193988,1.09337056,0.04856924,0.15763173,0.64008558,0.46274573,0.56738281,96.27,119.95,6310.5,4205.3
9.7595,36126.0,3078067.0,1.15507817,1.10659468,0.04848353,0.11110890,0.76740396,0.46869975,0.46846151,96.27,119.95,3701.6,4198.3
9.8080,33599.0,3111666.0,1.18943906,1.14121389,0.04822516,0.17726105,0.80758160,0.50032157,0.57816064,96.27,119.95,3425.7,4187.8
9.7998,33598.0,3145264.0,1.23890793,1.19072402,0.04818389,0.15128702,0.71947455,0.50032079,0.44592378,96.27,119.95,3428.4,4177.6
9.7884,47245.0,3192509.0,1.19796097,1.14966571,0.04829532,0.14877336,0.74233770,0.46988073,0.41606617,96.27,119.95,4826.6,4185.7
9.6824,58277.0,3250786.0,1.09927094,1.05079448,0.04847663,0.15843150,0.60218221,0.42667168,0.42210707,96.27,119.95,6018.9,4208.4
9.8124,33600.0,3284386.0,1.11476493,1.06530344,0.04946152,0.14165443,0.88683480,0.50032234,0.46070856,96.27,119.95,3424.2,4198.2
9.7072,45908.0,3330294.0,1.14970112,1.10103989,0.04866124,0.13764237,0.68888652,0.45837298,0.37231040,96.27,119.95,4729.3,4204.5
9.8044,33600.0,3363894.0,1.16083181,1.11174691,0.04908475,0.15901043,0.73081321,0.50032234,0.42989781,96.27,119.95,3427.0,4194.7
9.8031,33600.0,3397494.0,1.11729932,1.06815195,0.04914737,0.11042690,0.80683154,0.50032234,0.39666471,96.27,119.95,3427.5,4185.2
9.5623,41140.0,3438634.0,1.14322209,1.09476674,0.04845523,0.13276631,0.66310275,0.44114810,0.38916662,96.27,119.95,4302.3,4186.3
9.9212,48766.0,3487400.0,1.23497176,1.18646634,0.04850547,0.14403468,1.14666295,0.48899606,0.37713256,96.27,119.95,4915.3,4194.7
10.0002,49565.0,3536965.0,1.19207835,1.14377296,0.04830550,0.14454481,0.61748266,0.50027853,0.36901867,96.27,119.95,4956.4,4203.5
9.5514,40463.0,3577428.0,1.09771144,1.04838407,0.04932740,0.11211783,0.70470732,0.44213262,0.40787786,96.27,119.95,4236.4,4203.6
